Data,Zamkniecie
2020-10-01,10619.45190766
2020-10-02,10575.97504191
2020-10-03,10549.32889962
2020-10-04,10669.58254327
2020-10-05,10793.33942751
2020-10-06,10604.40588882
2020-10-07,10668.96895539
2020-10-08,10915.68573098
2020-10-09,11064.45759247
2020-10-10,11296.3614282
2020-10-11,11384.1819535
2020-10-12,11555.3628878
2020-10-13,11425.8994007
2020-10-14,11429.50688675
2020-10-15,11495.34965037
2020-10-16,11322.12268618
2020-10-17,11358.10156733
2020-10-18,11483.35971184
2020-10-19,11742.03715033
2020-10-20,11916.33514058
2020-10-21,12823.68918938
2020-10-22,12965.89129043
2020-10-23,12931.53902256
2020-10-24,13108.06261161
2020-10-25,13031.17431056
2020-10-26,13075.24769656
2020-10-27,13654.21844012
2020-10-28,13271.28536861
2020-10-29,13437.8832414
2020-10-30,13546.52226938
2020-10-31,13780.99470249
2020-11-01,13737.10982864
2020-11-02,13550.4893841
2020-11-03,13950.30084729
2020-11-04,14133.70715301
2020-11-05,15579.84846029
2020-11-06,15565.88058083
2020-11-07,14833.7541075
2020-11-08,15479.56703842
2020-11-09,15332.31559743
2020-11-10,15290.90268148
2020-11-11,15701.33973237
2020-11-12,16276.34394919
2020-11-13,16317.80819009
2020-11-14,16068.13870685
2020-11-15,15955.58743887
2020-11-16,16716.11132377
2020-11-17,17645.40576746
2020-11-18,17804.00563217
2020-11-19,17817.09024754
2020-11-20,18621.31436938
2020-11-21,18642.23276593
2020-11-22,18370.00252365
2020-11-23,18364.12159134
2020-11-24,19107.46444977
2020-11-25,18732.1207774
2020-11-26,17150.62357809
2020-11-27,17108.40172774
2020-11-28,17717.4150112
2020-11-29,18177.48341979
2020-11-30,19625.83502949
2020-12-01,18802.99829969
2020-12-02,19201.09115697
2020-12-03,19445.39847988
2020-12-04,18699.76561337
2020-12-05,19154.231131
2020-12-06,19345.12095871
2020-12-07,19191.63128698
2020-12-08,18321.14491611
2020-12-09,18553.91537685
2020-12-10,18264.99210672
2020-12-11,18058.90334725
2020-12-12,18803.65687045
2020-12-13,19142.3825335
2020-12-14,19246.64434137
2020-12-15,19417.07603342
2020-12-16,21310.59813054
2020-12-17,22805.16149213
2020-12-18,23137.96056165
2020-12-19,23869.83196434
2020-12-20,23477.29519711
2020-12-21,22803.0814087
2020-12-22,23783.02850288
2020-12-23,23241.34486501
2020-12-24,23735.94972763
2020-12-25,24664.79027412
2020-12-26,26437.0375091
2020-12-27,26272.29456706
2020-12-28,27084.80788628
2020-12-29,27362.4365573
2020-12-30,28840.95341968
2020-12-31,29001.71982218
2021-01-01,29374.15188907
2021-01-02,32127.26793922
2021-01-03,32782.02446581
2021-01-04,31971.91352155
2021-01-05,33992.42934365
2021-01-06,36824.36441009
2021-01-07,39371.04235311
2021-01-08,40797.61071993
2021-01-09,40254.54649816
2021-01-10,38356.43950662
2021-01-11,35566.65594049
2021-01-12,33922.9605815
2021-01-13,37316.35939997
2021-01-14,39187.32812109
2021-01-15,36825.36585131
2021-01-16,36178.13890106
2021-01-17,35791.27792129
2021-01-18,36630.07568284
2021-01-19,36069.80639361
2021-01-20,35547.7508855
2021-01-21,30825.69850603
2021-01-22,33005.76356216
2021-01-23,32067.64288212
2021-01-24,32289.37808687
2021-01-25,32366.39304887
2021-01-26,32569.84955679
2021-01-27,30432.54707881
2021-01-28,33466.09635821
2021-01-29,34316.38765032
2021-01-30,34269.52154165
2021-01-31,33114.35774753
2021-02-01,33537.1768196
2021-02-02,35510.28903716
2021-02-03,37472.09010368
2021-02-04,36926.06446515
2021-02-05,38144.30686267
2021-02-06,39266.01073494
2021-02-07,38903.44147971
2021-02-08,46196.46371944
2021-02-09,46481.10423596
2021-02-10,44918.18449192
2021-02-11,47909.33119483
2021-02-12,47504.85118326
2021-02-13,47105.51747252
2021-02-14,48717.2902111
2021-02-15,47945.05683234
2021-02-16,49199.87134362
2021-02-17,52149.00753587
2021-02-18,51679.79669449
2021-02-19,55888.13368221
2021-02-20,56099.52051348
2021-02-21,57539.9436679
